,question,answer,qtype
5336,What is the relationship between ideologies of higher education and conceptualisation of the nexus?,ideologies of higher education influence conceptualisation of the nexus.,2
5337,What is the relationship between antibodies and receptor binding domain (RBD)?,antibodies to receptor binding domain (RBD).,2
5338,What is the relationship between INFORM and Nursing Home Care?,INFORM improving Nursing Home Care.,2
5339,What is the relationship between COVID-19 and Latinx population?,COVID-19 impact Latinx population.,2
5340,What is the relationship between race and hospitalization?,race associate hospitalization.,2
5341,What is the relationship between pre-existing comorbidities and need for hospitalization?,pre-existing comorbidities contribute need for hospitalization.,2
5342,What is the relationship between reported comorbidities and disparities?,reported comorbidities explain disparities.,2
5343,What is the relationship between CTSL and COVID-19 pathogenesis in normal and cancer tissues of the lungs?,CTSL role COVID-19 pathogenesis in normal and cancer tissues of the lungs.,2
5344,What is the relationship between high expression of CTSL and short overall survival (OS) in lung cancer and glioma?,high expression of CTSL correlate short overall survival (OS) in lung cancer and glioma.,2
5345,What is the relationship between CTSL and COVID-19 severity?,CTSL role COVID-19 severity.,2
5346,What is the relationship between puncture and elevated opening pressure?,puncture show elevated opening pressure.,2
5347,What is the relationship between white dot syndromes and uveomeningeal presentations?,white dot syndromes associate uveomeningeal presentations.,2
5348,What is the relationship between population-level case-fatality rate (CFR) and COVID-19?,population-level case-fatality rate (CFR) associate COVID-19.,2
5349,What is the relationship between early life pneumoviral infection and development of pulmonary angiogenesis?,early life pneumoviral infection lead development of pulmonary angiogenesis.,2
5350,What is the relationship between Th1 response and asthma?,Th1 response protective asthma.,2
5351,What is the relationship between Th1 response and dominant Th2 response?,Th1 response antagonize dominant Th2 response.,2
5352,What is the relationship between Th1 cells and asthmatic manifestations?,Th1 cells induction asthmatic manifestations.,2
5353,What is the relationship between Th1 cells and pathological responses?,Th1 cells potentiate pathological responses.,2
5354,What is the relationship between Th1 cells and asthma?,Th1 cells involve asthma.,2
5355,What is the relationship between cytotoxic antibody and neutrophils?,cytotoxic antibody deplete neutrophils.,2
5356,What is the relationship between Neutrophils recruited into the lung and induction of AHR?,Neutrophils recruited into the lung responsible induction of AHR.,2
5357,What is the relationship between Inflammatory mechanisms and pathogenesis of pulmonary hypertension?,Inflammatory mechanisms role pathogenesis of pulmonary hypertension.,2
5358,What is the relationship between Prevenar and allergic lung disease?,Prevenar suppression allergic lung disease.,2
5359,What is the relationship between Relaxin and airway remodelling?,Relaxin reduce airway remodelling.,2
5360,What is the relationship between Relaxin treatment and airway hyperresponsiveness?,Relaxin treatment reduce airway hyperresponsiveness.,2
5361,What is the relationship between relaxin and allergic airways disease?,relaxin treatment allergic airways disease.,2
5362,What is the relationship between forced oscillation technique (FOT) and respiratory system impedence (Zrs)?,forced oscillation technique (FOT) measure respiratory system impedence (Zrs).,2
5363,What is the relationship between Chlamydial lung infections and asthma?,Chlamydial lung infections link asthma.,2
5364,What is the relationship between daily intranasal Ova challenges and AAD?,daily intranasal Ova challenges induce AAD.,2
5365,What is the relationship between chlamydial respiratory infections and allergenspecific immune responses?,chlamydial respiratory infections modify allergenspecific immune responses.,2
5366,What is the relationship between colonization and nan?,colonization induce nan.,2
5367,What is the relationship between Constant Phase Model and airway and tissue mechanics?,Constant Phase Model produce airway and tissue mechanics.,2
5368,What is the relationship between PPARg ligand rosiglitazone (RGZ) and airways hyperresponsiveness (AHR)?,PPARg ligand rosiglitazone (RGZ) reduce airways hyperresponsiveness (AHR).,2
5369,What is the relationship between RGZ and AHR?,RGZ reduce AHR.,2
5370,What is the relationship between drug-diffusion distance and drugsensitivity?,drug-diffusion distance influence drugsensitivity.,2
5371,What is the relationship between negative logconcentration of carbachol and Sensitivity?,negative logconcentration of carbachol measure Sensitivity.,2
5372,What is the relationship between Infusions of HDM and lung segments of allergic sheep?,Infusions of HDM administer lung segments of allergic sheep.,2
